Python 3.4.3 (v3.4.3:9b73f1c3e601, Feb 24 2015, 22:43:06) [MSC v.1600 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.
("'Abrun", 'CVC.CVC')
("'Abrut", 'CVC.CVC')
("'Abruy", 'CVC.CVC')
("'AbsAb", 'CVC.CVC')
("'AbsAl", 'CVC.CVC')
("'AbsAlAn", 'CVC.CV.CVC')
("'AbSAme", 'CVC.CV.CV')
("'AbSamSir", 'CVC.CVC.CVC')
("'AbSan", 'CVC.CVC')
("'Absang", 'CVC.CVCC')
("'Absanj", 'CVC.CVCC')
("'AbSAr", 'CVC.CVC')
("'absAr", 'CVC.CVC')
("'AbsarA", 'CVC.CV.CV')
("'Absardkon", 'CVC.CVCC.CVC')
("'Absardkoni", 'CVC.CVCC.CV.CV')
("'Abse", 'CVC.CV')
("'Absefid", 'CVC.CV.CVC')
("'AbSekan", 'CVC.CV.CVC')
("'AbSenAs", 'CVC.CV.CVC')
("'AbSenAsi", 'CVC.CV.CV.CV')
("'AbSib", 'CVC.CVC')
("'AbSirin", 'CVC.CV.CVC')
("'AbSirinkon", 'CVC.CV.CVC.CVC')
("'Absor", 'CVC.CVC')
("'AbSor", 'CVC.CVC')
("'AbSoS", 'CVC.CVC')
("'AbSoSdAr", 'CVC.CVC.CVC')
("'AbSoSdArAn", 'CVC.CVC.CV.CVC')
("'AbSoSoi", 'CVC.CVC.CV')
("'AbSoSpA", 'CVC.CVC.CV')
("'AbSoSpAyAn", 'CVC.CVC.CV.CVC')
("'AbSurAn", 'CVC.CV.CVC')
("'AbSuye", 'CVC.CV.CV')
("'AbSuyi", 'CVC.CV.CV')
("'abtahi", 'CVC.CV.CV')
("'abtahiyerAd", 'CVC.CV.CV.CV.CVC')
("'Abtal", 'CVC.CVC')
("'AbtalA", 'CVC.CV.CV')
("'AbtalAkAri", 'CVC.CV.CV.CV.CV')
("'AbtanbAku", 'CVC.CVC.CV.CV')
("'Abtani", 'CVC.CV.CV')
("'Abtani", 'CVC.CV.CV')
("'abtar", 'CVC.CVC')
("'AbtarAS", 'CVC.CV.CVC')
("'AbtarAz", 'CVC.CV.CVC')
("'Abtare", 'CVC.CV.CV')
("'Abtarsi", 'CVC.CVC.CV')
("'Abu", 'CV.CV')
("'abu", 'CV.CV')
("'abu'abdollAh", 'CV.CV.CVC.CVC.CVC')
("'abu'ali", 'CV.CV.CV.CV')
("'abu'alisinA", 'CV.CV.CV.CV.CV.CV')
("'abu'atA", 'CV.CV.CV.CV')
("'abu'ayyub", 'CV.CV.CVC.CVC')
("'abubakr", 'CV.CV.CVCC')
("'abudajAne", 'CV.CV.CV.CV.CV')
("'abu'eshAq", 'CV.CV.CVC.CVC')
("'abu'eshAq", 'CV.CV.CVC.CVC')
("'abuhAmed", 'CV.CV.CV.CVC')
("'abuhamze", 'CV.CV.CVC.CV')
("'abuhanife", 'CV.CV.CV.CV.CV')
("'abuhasan", 'CV.CV.CV.CVC')
("'abuhAtam", 'CV.CV.CV.CVC')
("'abuhAzem", 'CV.CV.CV.CVC')
("'abuja'far", 'CV.CV.CVC.CVC')
("'abujahAd", 'CV.CV.CV.CVC')
("'abujahl", 'CV.CV.CVCC')
("'abukAlijAr", 'CV.CV.CV.CV.CVC')
("'abulahab", 'CV.CV.CV.CVC')
("'abumansur", 'CV.CV.CVC.CVC')
("'abumohammad", 'CV.CV.CV.CVC.CVC')
("'abumoslem", 'CV.CV.CVC.CVC')
("'abumusA", 'CV.CV.CV.CV')
("'abumusA", 'CV.CV.CV.CV')
("'abuna'im", 'CV.CV.CV.CVC')
("'abunasr", 'CV.CV.CVCC')
("'Abune", 'CV.CV.CV')
("'AbunmAn", 'CV.CVC.CVC')
("'abuqarib", 'CV.CV.CV.CVC')
("'abuqorAze", 'CV.CV.CV.CV.CV')
("'abureyhAn", 'CV.CV.CVC.CVC')
("'abureyhAnnAme", 'CV.CV.CVC.CVC.CV.CV')
("'abus", 'CV.CVC')
("'abusa'id", 'CV.CV.CV.CVC')
("'abusa'ide'abolxeyr", 'CV.CV.CV.CV.CV.CV.CVC.CVCC')
("'abuSakur", 'CV.CV.CV.CVC')
("'abusalame", 'CV.CV.CV.CV.CV')
("'abusofyAn", 'CV.CV.CVC.CVC')
("'abutAleb", 'CV.CV.CV.CVC')
("'abutAlebi", 'CV.CV.CV.CV.CV')
("'abutayyAre", 'CV.CV.CVC.CV.CV')
("'abutorAb", 'CV.CV.CV.CVC')
("'abutorAbi", 'CV.CV.CV.CV.CV')
("'abutorAbiyAn", 'CV.CV.CV.CV.CV.CVC')
("'abuzabi", 'CV.CV.CV.CV')
("'abuzar", 'CV.CV.CVC')
("'abvAb", 'CVC.CVC')
("'abvAbolhaqAyeq", 'CVC.CV.CVC.CV.CV.CVC')
("'abvAbossarf", 'CVC.CV.CVC.CVCC')
("'AbvaS", 'CVC.CVC')
("'AbxAki", 'CVC.CV.CV')
("'AbxAn", 'CVC.CVC')
("'AbxAndAri", 'CVC.CVC.CV.CV')
("'abxere", 'CVC.CV.CV')
("'Abxiz", 'CVC.CVC')
("'AbxizdAri", 'CVC.CVC.CV.CV')
("'Abxonak", 'CVC.CV.CVC')
("'Abxor", 'CVC.CVC')
("'Abxord", 'CVC.CVCC')
("'Abxorde", 'CVC.CVC.CV')
("'Abxori", 'CVC.CV.CV')
("'AbxoSkkon", 'CVC.CVCC.CVC')
("'AbyAbi", 'CVC.CV.CV')
("'abyAne", 'CVC.CV.CV')
("'AbyAr", 'CVC.CVC')
("'AbyAri", 'CVC.CV.CV')
("'abyAt", 'CVC.CVC')
("'abyaz", 'CVC.CVC')
("'AbzA", 'CVC.CV')
("'Abzan", 'CVC.CVC')
("'abzAr", 'CVC.CVC')
("'abzArAlAt", 'CVC.CV.CV.CVC')
("'abzArandiS", 'CVC.CV.CVC.CVC')
("'abzArfuruS", 'CVC.CVC.CV.CVC')
("'abzArfuruSi", 'CVC.CVC.CV.CV.CV')
("'abzArgerAyi", 'CVC.CVC.CV.CV.CV')
("'abzAri", 'CVC.CV.CV')
("'abzArkeSi", 'CVC.CVC.CV.CV')
("'abzArmahdi", 'CVC.CVC.CVC.CV')
("'abzArmand", 'CVC.CVC.CVCC')
("'abzArnegar", 'CVC.CVC.CV.CVC')
("'abzArsanji", 'CVC.CVC.CVC.CV')
("'abzArsAz", 'CVC.CVC.CVC')
("'abzArsAzi", 'CVC.CVC.CV.CV')
("'abzArtizkon", 'CVC.CVC.CVC.CVC')
("'AbzereSk", 'CVC.CV.CVCC')
("'Abzi", 'CVC.CV')
("'AbzidAn", 'CVC.CV.CVC')
("'Abziparvari", 'CVC.CV.CVC.CV.CV')
("'Abzipo", 'CVC.CV.CV')
("'AbzirekAh", 'CVC.CV.CV.CVC')
("'AbzixAne", 'CVC.CV.CV.CV')
("'AbzodAyi", 'CVC.CV.CV.CV')
("'AC", 'CVC')
("'ACAr", 'CV.CVC')
("'ACArkeSi", 'CV.CVC.CV.CV')
("'Ace", 'CV.CV')
("'ACe'i", 'CV.CV.CV')
("'Acmaz", 'CVC.CVC')
("'Ad", 'CVC')
("'AdA", 'CV.CV')
("'adA", 'CV.CV')
("'adA", 'CV.CV')
("'a'dA", 'CVC.CV')
("'a'dA", 'CVC.CV')
("'AdAb", 'CV.CVC')
("'adab", 'CV.CVC')
("'adabAfarin", 'CV.CV.CV.CV.CVC')
("'AdAbdAn", 'CV.CVC.CVC')
("'AdAbdAni", 'CV.CVC.CV.CV')
("'adabdust", 'CV.CVC.CVCC')
("'adabdusti", 'CV.CVC.CVC.CV')
("'adabi", 'CV.CV.CV')
("'adabiyyAt", 'CV.CV.CVC.CVC')
("'adabiyyAti", 'CV.CV.CVC.CV.CV')
("'AdAborosum", 'CV.CV.CV.CV.CVC')
("'AdAbossalAt", 'CV.CV.CVC.CV.CVC')
("'AdAboSSo'arA", 'CV.CV.CVC.CV.CV.CV')
("'adabparvar", 'CV.CVC.CVC.CVC')
("'adabSenAs", 'CV.CVC.CV.CVC')
("'adad", 'CV.CVC')
("'a'dAd", 'CVC.CVC')
("'adadi", 'CV.CV.CV')
("'adadnevisi", 'CV.CVC.CV.CV.CV')
("'adadSomAri", 'CV.CVC.CV.CV.CV')
("'adAkonande", 'CV.CV.CV.CVC.CV')
("'a'dal", 'CVC.CVC')
("'AdAm", 'CV.CVC')
("'Adam", 'CV.CVC')
("'adam", 'CV.CVC')
("'AdamAhani", 'CV.CV.CV.CV.CV')
("'Adamak", 'CV.CV.CVC')
("'Adambarfi", 'CV.CVC.CVC.CV')
("'AdambeSo", 'CV.CVC.CV.CV')
("'Adambozorg", 'CV.CVC.CV.CVCC')
("'AdamCe", 'CV.CVC.CV')
("'AdamfuruS", 'CV.CVC.CV.CVC')
("'AdamfuruSi", 'CV.CVC.CV.CV.CV')
("'Adami", 'CV.CV.CV')
("'adami", 'CV.CV.CV')
("'Adamisirat", 'CV.CV.CV.CV.CVC')
("'Adamiyyat", 'CV.CV.CVC.CVC')
("'AdamizAd", 'CV.CV.CV.CVC')
("'AdamizAde", 'CV.CV.CV.CV.CV')
("'AdamkoS", 'CV.CVC.CVC')
("'AdamkoSi", 'CV.CVC.CV.CV')
("'Adamkutule", 'CV.CVC.CV.CV.CV')
("'AdammASini", 'CV.CVC.CV.CV.CV')
("'Adammasnu'i", 'CV.CVC.CVC.CV.CV')
("'Adamnadide", 'CV.CVC.CV.CV.CV')
("'AdamnamA", 'CV.CVC.CV.CV')
("'AdamnamAyAn", 'CV.CVC.CV.CV.CVC')
("'Adamqahti", 'CV.CVC.CVC.CV')
("'AdamrobA", 'CV.CVC.CV.CV')
("'AdamrobA'i", 'CV.CVC.CV.CV.CV')
("'AdamrobAyi", 'CV.CVC.CV.CV.CV')
("'Adamrow", 'CV.CVC.CV')
("'AdAms", 'CV.CVCC')
("'AdamsAzi", 'CV.CVC.CV.CV')
("'AdamSenAs", 'CV.CVC.CV.CVC')
("'AdAmsfuruSi", 'CV.CVCC.CV.CV.CV')
("'Adamsuzi", 'CV.CVC.CV.CV')
("'AdamxAr", 'CV.CVC.CVC')
("'AdamxAri", 'CV.CVC.CV.CV')
("'AdAmz", 'CV.CVCC')
("'Adamzan", 'CV.CVC.CVC')
("'Adamzivi", 'CV.CVC.CV.CV')
("'adan", 'CV.CVC')
("'adAnaSode", 'CV.CV.CV.CV.CV')
("'AdAptor", 'CV.CVC.CVC')
("'adas", 'CV.CVC')
("'adasak", 'CV.CV.CVC')
("'adase'Abi", 'CV.CV.CV.CV.CV')
("'adasi", 'CV.CV.CV')
("'adasiyye", 'CV.CV.CVC.CV')
("'adaspolow", 'CV.CVC.CV.CV')
("'adAt", 'CV.CVC')
("'AdAt", 'CV.CVC')
("'Adat", 'CV.CVC')
("'Adatan", 'CV.CV.CVC')
("'Adatkarde", 'CV.CVC.CVC.CV')
("'AdatSenAsi", 'CV.CVC.CV.CV.CV')
("'adavAt", 'CV.CV.CVC')
("'adAvo'atvAr", 'CV.CV.CV.CVC.CVC')
("'adAvo'usul", 'CV.CV.CV.CV.CVC')
("'adbAr", 'CVC.CVC')
("'adbol'aziz", 'CVC.CVC.CV.CVC')
("'adbollatif", 'CVC.CVC.CV.CVC')
("'adboSSAfi", 'CVC.CVC.CV.CV')
("'adbossalAm", 'CVC.CVC.CV.CVC')
("'Addi", 'CVC.CV')
("'addin", 'CVC.CVC')
("'AddisAzi", 'CVC.CV.CV.CV')
("'addiyAr", 'CVC.CV.CVC')
("'Ade", 'CV.CV')
("'Adel", 'CV.CVC')
("'AdelAbAd", 'CV.CV.CV.CVC')
("'AdelAne", 'CV.CV.CV.CV')
("'Adele", 'CV.CV.CV')
("'Adeli", 'CV.CV.CV')
("'adelle", 'CV.CVC.CV')
("'Adelpur", 'CV.CVC.CVC')
("'Adenin", 'CV.CV.CVC')
("'Adeno'id", 'CV.CV.CV.CVC')
("'Adenozin", 'CV.CV.CV.CVC')
("'AdernAlin", 'CV.CVC.CV.CVC')
("'AdernerZik", 'CV.CVC.CVC.CVC')
("'adham", 'CVC.CVC')
("'adhami", 'CVC.CV.CV')
("'adib", 'CV.CVC')
("'adibAne", 'CV.CV.CV.CV')
("'adibfar", 'CV.CVC.CVC')
("'adibi", 'CV.CV.CV')
("'adibniyA", 'CV.CVC.CV.CV')
("'adide", 'CV.CV.CV')
("'adil", 'CV.CVC')
("'adimi", 'CV.CV.CV')
("'Adine", 'CV.CV.CV')
("'AdisAbAbA", 'CV.CV.CV.CV.CV')
("'ad'iye", 'CVC.CV.CV')
("'adl", 'CVCC')
("'adlbandi", 'CVCC.CVC.CV')
("'adlgostar", 'CVCC.CVC.CVC')
("'adli", 'CVC.CV')
("'adliyye", 'CVC.CVC.CV')
("'adliyye'i", 'CVC.CVC.CV.CV')
("'adliyyeyi", 'CVC.CVC.CV.CV')
("'adlodAd", 'CVC.CV.CVC')
("'adlparvar", 'CVCC.CVC.CVC')
("'AdmirAl", 'CVC.CV.CVC')
("'adnAn", 'CVC.CVC')
("'adnAni", 'CVC.CV.CV')
("'adrekni", 'CVC.CVC.CV')
("'Adres", 'CVC.CVC')
("'Adresnevisi", 'CVC.CVC.CV.CV.CV')
("'AdriyAtik", 'CVC.CV.CV.CVC')
("'adu", 'CV.CV')
("'advAr", 'CVC.CVC')
("'advAri", 'CVC.CV.CV')
("'advenism", 'CVC.CV.CVCC')
("'advenist", 'CVC.CV.CVCC')
("'adviye", 'CVC.CV.CV')
("'adviyedAr", 'CVC.CV.CV.CVC')
("'adviyejAt", 'CVC.CV.CV.CVC')
("'adyAn", 'CVC.CVC')
("'A'ed", 'CV.CVC')
("'A'ele", 'CV.CV.CV')
("'A'elemand", 'CV.CV.CV.CVCC')
("'A'elemandi", 'CV.CV.CV.CVC.CV')
("'a'emme", 'CV.CVC.CV')
("'a'ez", 'CV.CVC')
("'A'ez", 'CV.CVC')
("'Af", 'CVC')
("'afA'il", 'CV.CV.CVC')
("'af'Al", 'CVC.CVC')
("'Afand", 'CV.CVCC')
("'Afandi", 'CV.CVC.CV')
("'afandi", 'CV.CVC.CV')
("'AfAq", 'CV.CVC')
("'afAqane", 'CV.CV.CV.CV')
("'AfAqi", 'CV.CV.CV')
("'AfAqo'anfos", 'CV.CV.CV.CVC.CVC')
("'Afarid", 'CV.CV.CVC')
("'Afaridani", 'CV.CV.CV.CV.CV')
("'Afaride", 'CV.CV.CV.CV')
("'AfaridegAr", 'CV.CV.CV.CV.CVC')
("'AfarideSode", 'CV.CV.CV.CV.CV.CV')
("'Afarin", 'CV.CV.CVC')
("'Afarin", 'CV.CV.CVC')
("'Afarinande", 'CV.CV.CV.CVC.CV')
("'Afarinandegi", 'CV.CV.CV.CVC.CV.CV')
("'AfarineS", 'CV.CV.CV.CVC')
("'AfarineSgar", 'CV.CV.CV.CVC.CVC')
("'AfAt", 'CV.CVC')
("'Afat", 'CV.CVC')
("'AfatkoS", 'CV.CVC.CVC')
("'AfatkoSi", 'CV.CVC.CV.CV')
("'Afatpazir", 'CV.CVC.CV.CVC')
("'Afatzade", 'CV.CVC.CV.CV')
("'Afatzadegi", 'CV.CVC.CV.CV.CV')
("'afAzel", 'CV.CV.CVC')
("'AfAzi", 'CV.CV.CV')
("'afCe", 'CVC.CV')
("'afen", 'CV.CVC')
("'afgAr", 'CVC.CVC')
("'af'i", 'CVC.CV')
("'afif", 'CV.CVC')
("'afifAbAd", 'CV.CV.CV.CVC')
("'afife", 'CV.CV.CV')
("'AfiS", 'CV.CVC')
("'Afiyat", 'CV.CV.CVC')
("'Afiyatju", 'CV.CV.CVC.CV')
("'Afiyatjuyi", 'CV.CV.CVC.CV.CV')
("'Afiyatparvar", 'CV.CV.CVC.CVC.CVC')
("'Afiyatsuz", 'CV.CV.CVC.CVC')
("'Afiyattalab", 'CV.CV.CVC.CV.CVC')
("'Afiyattalabi", 'CV.CV.CVC.CV.CV.CV')
("'afkan", 'CVC.CVC')
("'afkand", 'CVC.CVCC')
("'afkande", 'CVC.CVC.CV')
("'afkAr", 'CVC.CVC')
("'afkAri", 'CVC.CV.CV')
("'afkArsanji", 'CVC.CVC.CVC.CV')
("'afkArsAzi", 'CVC.CVC.CV.CV')
("'aflAk", 'CVC.CVC')
("'aflAki", 'CVC.CV.CV')
("'aflAknamA", 'CVC.CVC.CV.CV')
("'aflAtun", 'CVC.CV.CVC')
("'aflAtuni", 'CVC.CV.CV.CV')
("'afqAn", 'CVC.CVC')
("'afqAnestAn", 'CVC.CV.CVC.CVC')
("'afqAnestAni", 'CVC.CV.CVC.CV.CV')
("'afqAni", 'CVC.CV.CV')
("'afrA", 'CVC.CV')
("'afrAd", 'CVC.CVC')
("'afrang", 'CVC.CVCC')
("'afrAsiyAb", 'CVC.CV.CV.CVC')
("'afrAsiyAbi", 'CVC.CV.CV.CV.CV')
("'afrAsiyAbpur", 'CVC.CV.CV.CVC.CVC')
("'afrASt", 'CVC.CVCC')
("'afrASte", 'CVC.CVC.CV')
("'afrAxt", 'CVC.CVCC')
("'afrAxte", 'CVC.CVC.CV')
("'afrAyAn", 'CVC.CV.CVC')
("'afrAz", 'CVC.CVC')
("'afrAzmand", 'CVC.CVC.CVCC')
("'AfrikAn", 'CVC.CV.CVC')
("'afrine", 'CVC.CV.CV')
("'AfriqA", 'CVC.CV.CV')
("'AfriqAgerA", 'CVC.CV.CV.CV.CV')
("'AfriqA'i", 'CVC.CV.CV.CV')
("'AfriqAyi", 'CVC.CV.CV.CV')
("'AfriqAyitabAr", 'CVC.CV.CV.CV.CV.CVC')
("'afruxt", 'CVC.CVCC')
("'Afruxt", 'CVC.CVCC')
("'afruxte", 'CVC.CVC.CV')
("'afruxtegi", 'CVC.CVC.CV.CV')
("'afruxteSode", 'CVC.CVC.CV.CV.CV')
("'afruz", 'CVC.CVC')
("'afruz", 'CVC.CVC')
("'afruze", 'CVC.CV.CV')
("'afruzid", 'CVC.CV.CVC')
("'afsad", 'CVC.CVC')
("'afsah", 'CVC.CVC')
("'afsahi", 'CVC.CV.CV')
("'afSak", 'CVC.CVC')
("'afSAn", 'CVC.CVC')
("'afSAn", 'CVC.CVC')
("'afSAnd", 'CVC.CVCC')
("'afSAnde", 'CVC.CVC.CV')
("'afsAne", 'CVC.CV.CV')
("'afSAne", 'CVC.CV.CV')
("'afsAne'Amiz", 'CVC.CV.CV.CV.CVC')
("'afsAnegu", 'CVC.CV.CV.CV')
("'afsAnegune", 'CVC.CV.CV.CV.CV')
("'afsAne'i", 'CVC.CV.CV.CV')
("'afsAnepardAz", 'CVC.CV.CV.CVC.CVC')
("'afsAnepardAzi", 'CVC.CV.CV.CVC.CV.CV')
("'afsAnesarA", 'CVC.CV.CV.CV.CV')
("'afsAnesAz", 'CVC.CV.CV.CVC')
("'afsAnesAzi", 'CVC.CV.CV.CV.CV')
("'afSang", 'CVC.CVCC')
("'afSAni", 'CVC.CV.CV')
("'afsantin", 'CVC.CVC.CVC')
("'afsantin", 'CVC.CVC.CVC')
("'afsAr", 'CVC.CVC')
("'afsar", 'CVC.CVC')
("'afSAr", 'CVC.CVC')
("'afSArfar", 'CVC.CVC.CVC')
("'afsArgorixte", 'CVC.CVC.CV.CVC.CV')
("'afsArgosaste", 'CVC.CVC.CV.CVC.CV')
("'afsArgosixte", 'CVC.CVC.CV.CVC.CV')
("'afsArgosixtegi", 'CVC.CVC.CV.CVC.CV.CV')
("'afsari", 'CVC.CV.CV')
("'afSAri", 'CVC.CV.CV')
("'afSAriyAn", 'CVC.CV.CV.CVC')
("'afsariyye", 'CVC.CV.CVC.CV')
("'afSAriyye", 'CVC.CV.CVC.CV')
("'afsarnegahbAn", 'CVC.CVC.CV.CVC.CVC')
("'afSArniyA", 'CVC.CVC.CV.CV')
("'afsarolmoluk", 'CVC.CV.CVC.CV.CVC')
("'afSArpanAh", 'CVC.CVC.CV.CVC')
("'afSArpur", 'CVC.CVC.CVC')
("'AfsAyd", 'CVC.CVCC')
("'AfsAydgiri", 'CVC.CVCC.CV.CV')
("'afSin", 'CVC.CVC')
("'afsor", 'CVC.CVC')
("'afSor", 'CVC.CVC')
("'afsord", 'CVC.CVCC')
("'afSord", 'CVC.CVCC')
("'afsorde", 'CVC.CVC.CV')
("'afSorde", 'CVC.CVC.CV')
("'afsordedel", 'CVC.CVC.CV.CVC')
("'afsordegi", 'CVC.CVC.CV.CV')
("'afSordegi", 'CVC.CVC.CV.CV')
("'afsordexAter", 'CVC.CVC.CV.CV.CVC')
("'afsordexAteri", 'CVC.CVC.CV.CV.CV.CV')
("'afSore", 'CVC.CV.CV')
("'afsun", 'CVC.CVC')
("'afsungar", 'CVC.CVC.CVC')
("'afsungari", 'CVC.CVC.CV.CV')
("'afsunnApazir", 'CVC.CVC.CV.CV.CVC')
("'afsunSode", 'CVC.CVC.CV.CV')
("'afsunzodA'i", 'CVC.CVC.CV.CV.CV')
("'afsunzodAyi", 'CVC.CVC.CV.CV.CV')
("'afsus", 'CVC.CVC')
("'AftAb", 'CVC.CVC')
("'AftAbe", 'CVC.CV.CV')
("'AftAbeCi", 'CVC.CV.CV.CV')
("'AftAbedAr", 'CVC.CV.CV.CVC')
("'AftAbedozd", 'CVC.CV.CV.CVCC')
("'AftAbelagan", 'CVC.CV.CV.CV.CVC')
("'AftAbgardak", 'CVC.CVC.CVC.CVC')
("'AftAbgardAn", 'CVC.CVC.CVC.CVC')
("'AftAbgerefte", 'CVC.CVC.CV.CVC.CV')
("'AftAbgir", 'CVC.CVC.CVC')
("'AftAbgiri", 'CVC.CVC.CV.CV')
("'AftAbgun", 'CVC.CVC.CVC')
("'AftAbi", 'CVC.CV.CV')
("'AftAbmahtAb", 'CVC.CVC.CVC.CVC')
("'AftAbnazade", 'CVC.CVC.CV.CV.CV')
("'AftAbneSin", 'CVC.CVC.CV.CVC')
("'AftAbparast", 'CVC.CVC.CV.CVCC')
("'AftAbru", 'CVC.CVC.CV')
("'AftAbsanj", 'CVC.CVC.CVCC')
("'AftAbsuxte", 'CVC.CVC.CVC.CV')
("'AftAbsuxtegi", 'CVC.CVC.CVC.CV.CV')
("'AftAbxiz", 'CVC.CVC.CVC')
("'AftAbzade", 'CVC.CVC.CV.CV')
("'AftAbzadegi", 'CVC.CVC.CV.CV.CV')
("'AftAbzardi", 'CVC.CVC.CVC.CV')
("'AftAmAt", 'CVC.CV.CVC')
("'aftimun", 'CVC.CV.CVC')
("'AftomAt", 'CVC.CV.CVC')
("'afv", 'CVCC')
("'afvAh", 'CVC.CVC')
("'afvAhan", 'CVC.CV.CVC')
("'afvAhi", 'CVC.CV.CV')
("'afvAj", 'CVC.CVC')
("'afvSode", 'CVCC.CV.CV')
("'afxami", 'CVC.CV.CV')
("'afyun", 'CVC.CVC')
("'afyuni", 'CVC.CV.CV')
("'afzA", 'CVC.CV')
("'afzal", 'CVC.CVC')
("'afzali", 'CVC.CV.CV')
("'afzalipur", 'CVC.CV.CV.CVC')
("'afzaliyyat", 'CVC.CV.CVC.CVC')
("'afzaloddin", 'CVC.CV.CVC.CVC')
("'afzalolmolk", 'CVC.CV.CVC.CVCC')
("'afzAr", 'CVC.CVC')
("'afzAyande", 'CVC.CV.CVC.CV')
("'afzAyeS", 'CVC.CV.CVC')
("'afzAyeSdahande", 'CVC.CV.CVC.CV.CVC.CV')
("'afzAyeSi", 'CVC.CV.CV.CV')
("'afzAyeSyAbande", 'CVC.CV.CVC.CV.CVC.CV')
("'afzAyeSyAfte", 'CVC.CV.CVC.CVC.CV')
("'afzud", 'CVC.CVC')
("'afzudani", 'CVC.CV.CV.CV')
("'afzude", 'CVC.CV.CV')
("'afzudegi", 'CVC.CV.CV.CV')
("'afzun", 'CVC.CVC')
("'afzunbar", 'CVC.CVC.CVC')
("'afzunbarin", 'CVC.CVC.CV.CVC')
("'afzuni", 'CVC.CV.CV')
("'afzunkonande", 'CVC.CVC.CV.CVC.CV')
("'afzunSavande", 'CVC.CVC.CV.CVC.CV')
("'afzunSode", 'CVC.CVC.CV.CV')
("'afzuntalabAne", 'CVC.CVC.CV.CV.CV.CV')
("'afzuntalabi", 'CVC.CVC.CV.CV.CV')
("'afzunxAhi", 'CVC.CVC.CV.CV')
("'AgAh", 'CV.CVC')
("'AgAh", 'CV.CVC')
("'Agah", 'CV.CVC')
("'AgAhAn", 'CV.CV.CVC')
("'AgAhAnd", 'CV.CV.CVCC')
("'AgAhAne", 'CV.CV.CV.CV')
("'AgAhAnid", 'CV.CV.CV.CVC')
("'AgAhi", 'CV.CV.CV')
("'Agahi", 'CV.CV.CV')
("'AgAhibaxS", 'CV.CV.CV.CVCC')
("'AgAhibaxSi", 'CV.CV.CV.CVC.CV')
("'AgAhid", 'CV.CV.CVC')
("'AgAhidahande", 'CV.CV.CV.CV.CVC.CV')
("'Agahidahande", 'CV.CV.CV.CV.CVC.CV')
("'AgAhidehi", 'CV.CV.CV.CV.CV')
("'AgAhinAme", 'CV.CV.CV.CV.CV')
("'AgAhisAzi", 'CV.CV.CV.CV.CV')
("'AgAhixAhi", 'CV.CV.CV.CV.CV')
("'AgAhizA", 'CV.CV.CV.CV')
("'AgAhkonande", 'CV.CVC.CV.CVC.CV')
("'AgAhsAzi", 'CV.CVC.CV.CV')
("'AgAmnun", 'CV.CVC.CVC')
("'agar", 'CV.CVC')
("'AgArAgAr", 'CV.CV.CV.CVC')
("'agarCe", 'CV.CVC.CV')
("'agarna", 'CV.CVC.CV')
("'AgAt", 'CV.CVC')
("'AgAv", 'CV.CVC')
("'Aglotinin", 'CVC.CV.CV.CVC')
("'Agnetozo'ik", 'CVC.CV.CV.CV.CVC')
("'Agnostik", 'CVC.CVC.CVC')
("'Agnostisism", 'CVC.CVC.CV.CVCC')
("'Agost", 'CV.CVCC')
("'Agostin", 'CV.CVC.CVC')
("'Agoti", 'CV.CV.CV')
("'AgrAf", 'CVC.CVC')
("'AgrAn", 'CVC.CVC')
("'AgrAndismAn", 'CVC.CVC.CVC.CVC')
("'AgrAndisor", 'CVC.CVC.CV.CVC')
("'AgremAn", 'CVC.CV.CVC')
("'AgroSimi", 'CVC.CV.CV.CV')
("'Agroteknik", 'CVC.CV.CVC.CVC')
("'Ah", 'CVC')
("'ah", 'CVC')
("'AhAd", 'CV.CVC')
("'ahad", 'CV.CVC')
("'ahadi", 'CV.CV.CV')
("'ahAdis", 'CV.CV.CVC')
("'ahadiyyat", 'CV.CV.CVC.CVC')
("'ahadonnAs", 'CV.CV.CVC.CVC')
("'ahadpur", 'CV.CVC.CVC')
("'ahadzAdegAn", 'CV.CVC.CV.CV.CVC')
("'Ahak", 'CV.CVC')
("'Ahakdehi", 'CV.CVC.CV.CV')
("'Ahakdust", 'CV.CVC.CVCC')
("'Ahakgoriz", 'CV.CVC.CV.CVC')
("'Ahaki", 'CV.CV.CV')
("'Ahaknamak", 'CV.CVC.CV.CVC')
("'Ahakpaz", 'CV.CVC.CVC')
("'Ahakpazi", 'CV.CVC.CV.CV')
("'Ahakpur", 'CV.CVC.CVC')
("'Ahakros", 'CV.CVC.CVC')
("'ahAli", 'CV.CV.CV')
("'ahamm", 'CV.CVCC')
("'ahammiyyat", 'CV.CVC.CVC.CVC')
("'ahammiyyatdehi", 'CV.CVC.CVC.CVC.CV.CV')
("'ahammiyyati", 'CV.CVC.CVC.CV.CV')
("'Ahan", 'CV.CVC')
("'AhanAlAt", 'CV.CV.CV.CVC')
("'Ahanbor", 'CV.CVC.CVC')
("'Ahanbori", 'CV.CVC.CV.CV')
("'AhandAr", 'CV.CVC.CVC')
("'AhanfuruS", 'CV.CVC.CV.CVC')
("'AhanfuruSi", 'CV.CVC.CV.CV.CV')
("'Ahang", 'CV.CVCC')
("'Ahangar", 'CV.CVC.CVC')
("'AhangarAn", 'CV.CVC.CV.CVC')
