Python 3.4.3 (v3.4.3:9b73f1c3e601, Feb 24 2015, 22:43:06) [MSC v.1600 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.
("'abdolmohammadiyAn", '.CVC.CVC.CV.CVC.CV.CV.CVC')
("'abdolmohsen", '.CVC.CVC.CVC.CVC')
("'abdolmotalleb", '.CVC.CVC.CV.CVC.CVC')
("'abdolqAder", '.CVC.CVC.CV.CVC')
("'abdolqadir", '.CVC.CVC.CV.CVC')
("'abdolqaffAr", '.CVC.CVC.CVC.CVC')
("'abdolqafur", '.CVC.CVC.CV.CVC')
("'abdolqani", '.CVC.CVC.CV.CV')
("'abdolqAsem", '.CVC.CVC.CV.CVC')
("'abdolra'uf", '.CVC.CVC.CV.CVC')
("'abdolrrahmAn", '.CVC.CVCC.CVC.CVC')
("'abdolvAhed", '.CVC.CVC.CV.CVC')
("'abdolvahhAb", '.CVC.CVC.CVC.CVC')
("'abdolvAres", '.CVC.CVC.CV.CVC')
("'abdolxAleq", '.CVC.CVC.CV.CVC')
("'abdonnabi", '.CVC.CVC.CV.CV')
("'abdonnaqi", '.CVC.CVC.CV.CV')
("'abdonnAser", '.CVC.CVC.CV.CVC')
("'abdorrahim", '.CVC.CVC.CV.CVC')
("'abdorrahimi", '.CVC.CVC.CV.CV.CV')
("'abdorrahmAn", '.CVC.CVC.CVC.CVC')
("'abdorrahmAnebne'abibakr", '.CVC.CVC.CVC.CV.CVC.CV.CV.CV.CVCC')
("'abdorrahmAnebne'abubakr", '.CVC.CVC.CVC.CV.CVC.CV.CV.CV.CVCC')
("'abdorrahmAnebne'osmAn", '.CVC.CVC.CVC.CV.CVC.CV.CVC.CVC')
("'abdorrahmAnebnexAledebnevalid", '.CVC.CVC.CVC.CV.CVC.CV.CV.CV.CVC.CV.CV.CVC')
("'abdorraSid", '.CVC.CVC.CV.CVC')
("'abdorrasul", '.CVC.CVC.CV.CVC')
("'abdorrazzAq", '.CVC.CVC.CVC.CVC')
("'abdorrazzAq", '.CVC.CVC.CVC.CVC')
("'abdorrezA", '.CVC.CVC.CV.CV')
("'abdossAdeq", '.CVC.CVC.CV.CVC')
("'abdossamad", '.CVC.CVC.CV.CVC')
("'abdovad", '.CVC.CV.CVC')
("'Abdozd", '.CVC.CVCC')
("'Abdozdak", '.CVC.CVC.CVC')
("'abdozzAher", '.CVC.CVC.CV.CVC')
("'Abduq", '.CVC.CVC')
("'Abdust", '.CVC.CVCC')
("'abdzAde", '.CVCC.CV.CV')
("'Abe", '.CV.CV')
("'Abed", '.CV.CVC')
("'Abede", '.CV.CV.CV')
("'Abedi", '.CV.CV.CV')
("'Abedini", '.CV.CV.CV.CV')
("'Abedinipur", '.CV.CV.CV.CV.CVC')
("'AbedinzAde", '.CV.CV.CVC.CV.CV')
("'AbedizAde", '.CV.CV.CV.CV.CV')
("'Abedpur", '.CV.CVC.CVC')
("'AbedzAde", '.CV.CVC.CV.CV')
("'Abegarm", '.CV.CV.CVCC')
("'AbehowzkeS", '.CV.CV.CVC.CVC')
("'Abele'eSte'Al", '.CV.CV.CV.CVC.CV.CVC')
("'abelhadid", '.CV.CVC.CV.CVC')
("'abelhasan", '.CV.CVC.CV.CVC')
("'AbemorvArid", '.CV.CV.CVC.CV.CVC')
("'Abeqand", '.CV.CV.CVCC')
("'Aber", '.CV.CVC')
("'AberbAnk", '.CV.CVC.CVCC')
("'Aberu", '.CV.CV.CV')
("'Aberubari", '.CV.CV.CV.CV.CV')
("'Aberumand", '.CV.CV.CV.CVCC')
("'AberumandAne", '.CV.CV.CV.CVC.CV.CV')
("'Aberurizi", '.CV.CV.CV.CV.CV')
("'Abesard", '.CV.CV.CVCC')
("'AbesiyAh", '.CV.CV.CV.CVC')
("'Abeskun", '.CV.CVC.CVC')
("'AbestAn", '.CV.CVC.CVC')
("'Abestan", '.CV.CVC.CVC')
("'Abestani", '.CV.CVC.CV.CV')
("'Abestre", '.CV.CVCC.CV')
("'AbeSxor", '.CV.CVC.CVC')
("'Abezard", '.CV.CV.CVCC')
("'AbfA", '.CVC.CV')
("'AbfA", '.CVC.CV')
("'AbfeSAn", '.CVC.CV.CVC')
("'AbgAh", '.CVC.CVC')
("'AbgarA", '.CVC.CV.CV')
("'AbgardAn", '.CVC.CVC.CVC')
("'AbgardeS", '.CVC.CVC.CVC')
("'Abgarmkon", '.CVC.CVCC.CVC')
("'Abgaz", '.CVC.CVC')
("'AbgerAyi", '.CVC.CV.CV.CV')
("'Abgereftegi", '.CVC.CV.CVC.CV.CV')
("'Abgine", '.CVC.CV.CV')
("'Abgir", '.CVC.CVC')
("'Abgiri", '.CVC.CV.CV')
("'Abgorizi", '.CVC.CV.CV.CV')
("'Abgozar", '.CVC.CV.CVC')
("'Abgun", '.CVC.CVC')
("'Abgune", '.CVC.CV.CV')
("'AbguSt", '.CVC.CVCC')
("'abhar", '.CVC.CVC')
("'AbharAsi", '.CVC.CV.CV.CV')
("'abhari", '.CVC.CV.CV')
("'abharineZAd", '.CVC.CV.CV.CV.CVC')
("'abharrud", '.CVC.CVC.CVC')
("'Abhavij", '.CVC.CV.CVC')
("'Abhowzi", '.CVC.CV.CV')
("'Abi", '.CV.CV')
("'abi", '.CV.CV')
("'abi'abdellAh", '.CV.CV.CVC.CVC.CVC')
("'abibakr", '.CV.CV.CVCC')
("'Abid", '.CV.CVC')
("'abid", '.CV.CVC')
("'Abide", '.CV.CV.CV')
("'abijahl", '.CV.CV.CVCC')
("'AbipuS", '.CV.CV.CVC')
("'abir", '.CV.CVC')
("'abirAhi", '.CV.CV.CV.CV')
("'abirAmiz", '.CV.CV.CV.CVC')
("'Abirang", '.CV.CV.CVCC')
("'abisofyAn", '.CV.CV.CVC.CVC')
("'abitAleb", '.CV.CV.CV.CVC')
("'abivaqAs", '.CV.CV.CV.CVC')
("'abivard", '.CV.CV.CVCC')
("'AbixAki", '.CV.CV.CV.CV')
("'abizar", '.CV.CV.CVC')
("'abjad", '.CVC.CVC')
("'abjadi", '.CVC.CV.CV')
("'abjadxAn", '.CVC.CVC.CVC')
("'Abji", '.CVC.CV')
("'Abjow", '.CVC.CV')
("'AbjowsAzi", '.CVC.CV.CV.CV')
("'AbkAfe", '.CVC.CV.CV')
("'AbkAft", '.CVC.CVCC')
("'Abkak", '.CVC.CVC')
("'Abkand", '.CVC.CVCC')
("'AbkAr", '.CVC.CVC')
("'Abkardani", '.CVC.CVC.CV.CV')
("'AbkAri", '.CVC.CV.CV')
("'AbkeS", '.CVC.CVC')
("'AbkeSi", '.CVC.CV.CV')
("'AbkeSide", '.CVC.CV.CV.CV')
("'AbkeSt", '.CVC.CVCC')
("'Abkis", '.CVC.CVC')
("'Abkore", '.CVC.CV.CV')
("'Abkuhe", '.CVC.CV.CV')
